1470 26.76431 6.599686  9.263068  0.0021 44  33.4563  12.2849
1509 25.89856 29.327602  1.492094  0.0000 69  61.9496  18.6635
1509 22.59914 20.899673  0.028741  0.0000 66  49.1107  14.2526
1509 32.57369 14.403297  357.281116  0.0004 55  41.1528  12.7911
1509 28.71925 10.398905  15.251214  0.0014 47  35.8188  11.4615
1509 25.42788 7.116906  0.492272  0.0022 42  32.0929  11.0175
1509 25.30046 6.078004  2.405547  0.0050 37  31.0550  11.0185
1532 40.73586 30.428955  1277743.948646  0.0000 82  64.0570  19.3353
1532 33.92053 21.706701  798.187208  0.0000 56  50.7658  14.7664
1532 28.87347 14.970876  11.830744  0.0000 47  42.5336  13.2701
1532 25.64161 10.785237  0.898272  0.0000 47  37.0004  11.9225
1532 22.86059 7.375451  0.046536  0.0001 49  33.1404  11.4722
1532 21.94444 6.350680  0.109461  0.0001 47  32.0280  11.3846
1539 31.10261 31.268297  179.127402  0.0000 77  63.8377  17.2754
1539 27.53416 23.605304  2.231287  0.0000 57  53.0327  14.1334
1539 25.48008 17.186266  0.522024  0.0000 52  45.2623  12.7820
1539 23.77507 12.900581  0.163120  0.0000 49  39.7097  11.5151
1539 22.49033 9.248219  0.033275  0.0000 47  35.3063  10.7640
1539 22.23758 7.916026  0.143327  0.0000 49  34.0050  10.7949
1549 48.25780 21.403059  1303834217.453368  0.8078 76  48.4895  13.8990
1549 39.12468 16.137506  96330.716027  0.2509 61  40.6260  11.3011
1549 31.15160 11.763620  96.423261  0.0309 49  34.9270  9.9759
1549 26.43898 8.830543  1.869452  0.0142 44  31.0613  9.0433
1549 22.60689 6.305372  0.036966  0.0070 42  27.9886  8.4958
1549 21.68120 5.434213  0.085950  0.0065 48  27.1434  8.5217
1581 18.99876 31.991077  0.008479  0.0000 75  62.2875  15.6906
1581 16.91282 22.840629  0.005129  0.0000 65  49.4594  12.0130
1581 15.96150 15.742573  0.005041  0.0000 46  40.9389  10.5905
1581 15.45762 11.357915  0.005039  0.0000 45  35.5119  9.5481
1581 15.06507 7.773512  0.005000  0.0000 40  31.3815  9.0021
1581 14.95971 6.637230  0.005003  0.0000 37  30.2590  9.0160
1585 21.81877 32.926051  0.042016  0.0000 66  65.2059  17.5256
1585 19.63075 23.480295  0.006566  0.0000 56  51.6523  13.4178
1585 18.31200 16.177277  0.005392  0.0000 56  42.9096  11.9781
1585 17.64106 11.649310  0.005308  0.0000 52  37.1701  10.7665
1585 17.13849 7.953308  0.005006  0.0000 46  32.9661  10.2585
1585 25.12236 6.839364  2.041618  0.0021 37  31.8181  10.2245
1759 34.37234 30.660005  3639.469812  0.0000 78  60.2855  15.2941
1759 29.10637 21.873038  9.477062  0.0000 61  47.8678  11.6633
1759 25.62058 15.080263  0.593786  0.0000 46  39.6406  10.2289
1759 23.49747 10.875952  0.126919  0.0000 49  34.4441  9.2367
1759 21.73814 7.431011  0.017197  0.0003 44  30.4158  8.6534
1759 21.23447 6.382686  0.057081  0.0006 40  29.3437  8.6295
1761 47.10269 23.708071  449963975.869803  0.8654 77  47.2597  9.9591
1761 38.69826 17.874199  65042.448317  0.8747 60  38.8436  7.3769
1761 32.96068 13.018228  510.277300  0.8996 46  33.0756  6.4648
1761 29.30060 9.794995  26.050405  0.7483 44  29.6155  6.2280
1761 26.06727 6.992229  0.887045  0.5797 41  26.6592  6.0745
1761 25.08627 5.996587  1.974878  0.5530 37  25.7294  6.1403
1848 48.08626 30.771695  1113281224.018984  0.0000 81  63.2649  18.1441
1848 38.07748 21.950344  36718.335609  0.0000 54  50.1881  13.8887
1848 35.25324 15.127142  4215.299722  0.0022 42  41.9126  12.4363
1848 25.66478 10.886986  0.917594  0.0001 50  36.3845  11.1485
